40N||1||1||10	Книга родоводу Ісуса Христа, сина Давидового, сина Авраамового.
40N||4||21||860	І, йдучи звідтіля, побачив инших двох братів, Якова Зеведеєвого та Йоана, брата його, у човні з Зеведеем, батьком їх, як налагоджували неводи свої; і покликав їх.
40N||4||22||870	Вони ж зараз, покинувши човен і батька свого, пійшли слїдом за Ним.
40N||4||23||880	І ходив Ісус по всій Галилеї, навчаючи по школах їх, і проповідуючи евангелию царства, та сцїляючи всякий недуг і всякі болестї поміж людьми.
40N||4||24||890	І розійшлась чутка про Него по всїй Сирщинї; й приводжено до Него всїх недужнїх, що болїли всякими болещами та муками, й біснуватих, і місячників, і розслаблених; і сцїляв їх.
40N||4||25||900	І йшло за Ним пребагато народу з Галилеї, й з Десятиграду, й з Єрусалиму, й з Юдеї, й зза Йордану.
40N||5||1||910	Побачивши ж народ, зійшов на гору, і,як сїв, приступили до Него ученики Його;
40N||5||2||920	і відкрив Він уста свої, і навчав їх, глаголючи:
40N||5||3||930	Блаженні вбогі духом, бо їх царство небесне.
40N||5||4||940	Блаженні сумні, бо такі втїшять ся.
40N||5||5||950	Блаженні тихі, бо такі осягнуть землю.
40N||5||6||960	Блаженні голодні й жадні правди, бо такі наситять ся.
40N||5||7||970	Блаженні милостиві, бо такі будуть помилувані.
40N||5||8||980	Блаженні чисті серцем, бо такі побачять Бога.
40N||5||9||990	Блаженні миротворці, бо такі синами Божими звати муть ся.
40N||5||10||1000	Блаженні, кого гонять за правду, бо їх царство небесне.
40N||5||11||1010	Блаженні ви, коли вас безчестити муть, та гонити муть, та казати муть на вас усяке лихе слово не по правдї, ради мене.
40N||5||12||1020	Радуйтесь і веселітесь: бо велика нагорода ваша на небі; так бо гонили й пророків, що бували перше вас.
40N||5||13||1030	Ви сіль землї; коли ж сіль звітріє, то чим солити? Нї-на-що не годить ся тоді вона, тільки щоб викинути геть і щоб топтали її люде.
40N||5||14||1040	Ви сьвітло сьвіту. Не може город сховати ся, стоячи на горі;
40N||5||15||1050	і, засьвітивши сьвічку, не став лять під посудину, а на сьвічнику то й сьвітить вона всїм, хто в хатї.
40N||5||16||1060	так нехай сяє сьвітло ваше перед людьми, щоб вони бачили ваші добрі дїла, й прославляли Отця вашого, що на небі.
40N||5||17||1070	Не думайте, що я прийшов знївечити закон або пророків; не прийшов я знївечити, а сповнити.
40N||5||18||1080	Істино бо глаголю вам: Доки перейде небо й земля, одна йота, або одна титла не перейде з закону, аж поки все станеть ся.
40N||5||19||1090	Тим, хто поламле одну найменшу з сих заповідей і навчить так людей, той звати меть ся найменшим у царстві небесному; а хто сповнить і навчить, той звати меть ся великим у царстві небесному.
40N||5||20||1100	Глаголю бо вам: Що коли ваша правда не переважить письменників та Фарисеїв, то не ввійдете в царство небесне.
40N||5||21||1110	Чували ви, що сказано старосьвіцьким: Не вбий, а хто вбє, на того буде суд.
40N||5||22||1120	Я ж вам глаголю: Хто сердить ся на брата свого без причини, на того буде суд; а хто скаже на брата свого: Рака [Безчесний], на того буде громадський суд; хто ж скаже: дурню, на того буде огонь пекельний.
40N||5||23||1130	Тим, коли принесеш дар свій до жертівнї, й згадаєш там, що твій брат має що проти тебе;
40N||5||24||1140	зостав свій дар перед жертівнею, і йди геть, помирись перш із братом твоїм, а тоді прийди й подай дар твій.
40N||5||25||1150	Мирись із твоїм противником хутко, доки ти ще в дорозі з ним, щоб не віддав тебе противник судді, а суддя не віддав тебе осавулї (слузї), і не вкинуто тебе в темницю.
40N||5||26||1160	Істино глаголю тобі: Не вийдеш звідтіля, доки не віддаси й останнього шеляга.
40N||5||27||1170	Чували ви, що сказано старосьвіцьким: Не чини перелюбу.
40N||5||28||1180	Я ж вам глаголю: Хто спогляне на жінку жадібним оком, той уже вчинив перелюб із нею в серці своїм.
40N||5||29||1190	Коли ж око твоє праве блазнить тебе, вирви його, й кинь од себе; бо більша користь тобі, щоб один із членів твоїх згинув, а не все тіло вкинуто в пекло.
40N||5||30||1200	І коли права рука твоя блазнить тебе відотни її, й кинь од себе; більша бо користь тобі, щоб один із членів твоїх згинув, а не все тіло твоє вкинуто в пекло.
40N||5||31||1210	Сказано ж: Що хто розводить ся з жінкою своєю, нехай дасть їй розвідний лист.
40N||5||32||1220	Я ж вам глаголю: Що хто розведеть ся з жінкою своєю, хиба що за перелюб, доводить її до перелюбу; й хто оженить ся з розвідкою, чинить перелюб.
40N||5||33||1230	Знов чували, що сказано старосьвіцьким: Не кленись криво, а сповняй перед Господом обітниці твої.
40N||5||34||1240	Я ж вам глаголю: Не клянїть ся зовсім: нї небом, бо воно престол Божий;
40N||5||35||1250	нї землею, бо вона підніжок ніг Його; нї Єрусалимом, бо се город великого царя;
40N||5||36||1260	нї головою твоєю не клянись, бо не зможеш зробити нї одного волоса білим або чорним.
40N||5||37||1270	Слово ж ваще нехай буде: так, так; нї, нї; бо що більш над се, те від лихого.
40N||5||38||1280	Чували ви, що сказано: Око за око, й зуб за зуб.
40N||5||39||1290	Я ж вам глаголю: Не противтесь лихому, а хто вдарить тебе у праву щоку твою, повернись до него й другою.
40N||5||40||1300	І хто схоче судитись із тобою і зняти з тебе свиту, віддай йому й жупанок.
40N||5||41||1310	І хто силувати ме тебе йти милю, йди з ним дві.
40N||5||42||1320	Дай, хто в тебе просить, і хто хоче в тебе позичити, не одвертайсь од него.
40N||5||43||1330	Чували ви, що сказано: Люби ближнього твого, й ненавидь ворога твого.
40N||5||44||1340	Я ж вам глаголю: Любіть ворогів ваших, благословляйте, хто клене вас, робіть добро, хто ненавидить вас, і моліть ся за тих, що обижають вас і гонять вас;
40N||5||45||1350	щоб вам бути синами Отця вашого, що на небі; Він бо велить сонцю своєму сходити над лихими й над добрими, й посилає дощ на праведних і неправедних.
40N||5||46||1360	Бо коли ви любите тих, що люблять вас, то за що вам нагорода? хиба й митники не те саме роблять?
40N||5||47||1370	І коли витаєте тільки братів ваших, то що надто робите? хиба й митники не так роблять?
40N||5||48||1380	Оце ж бувайте звершені, як Отець ваш, що на небі, звершений.
40N||6||1||1390	Остерегайтесь подавати милостиню вашу перед людьми, щоб вони вас бачили; а то не мати мете ніякої нагороди від Отця вашого, що на небі.
40N||6||2||1400	Тим, коли подаєш милостиню, то не труби в трубу перед собою, як роблять лицеміри по школах та по улицях, щоб здобути слави в людей. Істино глаголю вам: Мають вони нагороду собі.
40N||6||3||1410	Ти ж, як подаєш милостиню, то нехай ліва рука твоя не знає, що робить права:
40N||6||4||1420	щоб твоя милостиня була потайна; а Отець твій, що бачить потайне, віддасть тобі прилюдно.
40N||6||5||1430	І коли молиш ся, не будь таким, як лицеміри; бо вони люблять молитись, стоячи в школах та по росхідних улицях, щоб їх бачили люде. Істино глаголю вам: Мають вони нагороду собі.
40N||6||6||1440	Ти ж, коли молиш ся, увійди в хатину твою та, зачинивши двері, помолись Отцю твоєму потай; а Отець твій, що бачить потайне, віддасть тобі прилюдно. 
40N||6||7||1450	Як же молитесь, то не говоріть багато, як погане: бо вони думають, що за довгі молитви будуть вислухані.
40N||6||8||1460	Не приподоблюйте ся ж до них; бо Отець ваш знає, чого вам треба, перш нїж просите в Него.
40N||6||9||1470	Тим же то молїть ся ось як: Отче наш, що на небі! Нехай святить ся імя твоє.
40N||6||10||1480	Нехай прийде царство твоє. Нехай буде воля твоя, як на небі, так і на землі.
40N||6||11||1490	Хлїб наш щоденний дай нам сьогоднї.
40N||6||12||1500	І прости нам довги наші, як і ми прощаємо довжникам нашим.
40N||6||13||1510	І не введи нас у спокусу, а ізбави нас од лукавого. Бо твоє єсть царство й сила, й слава по віки. Амінь.
40N||6||14||1520	Бо коли прощати мете людям провини їх, то й Отець ваш небесний прощати ме Вам.
40N||6||15||1530	Як же не прощати мете людям провин їх, то й Отець ваш небесний не прощати буде провин ваших.
40N||6||16||1540	Коли ж постите, нехай не буде в вас, як у лицемірів, сумного виду: зміняють бо лиця свої, щоб здаватись людям постниками. Істинно глаголю вам: Що мають вони нагороду собі.
40N||6||17||1550	Ти ж, коли постиш, намасти голову твою, і вмий лице твоє;
40N||6||18||1560	щоб не здавав ся людям постником, а Отцеві твоєму, що потай; а Отець твій, що бачить потайне, віддасть тобі прилюдно.
40N||6||19||1570	Не збирайте собі скарбів на землї, де міль і ржа їсть, і де злодії підкопують ся і крадуть.
40N||6||20||1580	Збирайте ж собі скарби на небі, де нї міль, нї ржа не їсть, і де злодії не підкопують ся й не крадуть.
40N||6||21||1590	Бо де скарб ваш, там буде й серце ваше.
40N||6||22||1600	Сьвітло тїлу око; тим, коли око в тебе ясне, то й все тїло твоє буде сьвітле.
40N||6||23||1610	Коли ж у тебе око лихе, то й все тіло твоє буде темне. Тим, коли сьвітло, що в тобі, буде темрява, то яка велика се темрява!
40N||6||24||1620	Нїхто не може служити двом панам, бо, або одного ненавидіти ме, а другого любити ме; або до одного прихилить ся, а другим гордувати ме. Не можете Богу служити й мамонї.
40N||6||25||1630	Тим глаголю вам: Не журіть ся життєм вашим, що вам їсти або пити; анї тїлом вашим, чим зодягти ся. Чи душа ж не більше їжі, а тїло одежі?
40N||6||26||1640	Спогляньте на птаство небесне, що не сїють і не жнуть, анї збирають у клуню; от же Отець важ небесний годує їх. А ви хиба не луччі від них ?,
40N||6||27||1650	Хто з вас, журячись, може прибавити собі зросту хоч на один локіть ?
40N||6||28||1660	І одежею чого вам журитись? Придивіть ся до польових лилїй як вони ростуть; не працюють, нї прядуть;
40N||6||29||1670	глаголю ж вам: Що й Соломон у всїй славі своїй не одягавсь тав як одна з них.
40N||6||30||1680	Коли ж Бог так з'одягав польове зіллє, що сьогоднї воно є, а завтра вкинуть його в піч, то чи не більше ж з'одягати ме вас, маловірні?
40N||6||31||1690	Тим же то не журіть ся, кажучи: Що їсти мем? або: Що пити мем? або: Чим зодягнемось?
40N||6||32||1700	Про все таке побивають ся погане; бо Отець ваш небесний знає, що вам усього того треба.
40N||6||33||1710	А шукайте перш царства Божого та правди Його; се ж усе додасть ся вам.
40N||6||34||1720	Оце ж не журіть ся про завтра; бо завтра журити меть ся само про своє. Доволї в кожного дня лиха свого.
40N||7||1||1730	Не судїть, щоб вас не суджено.
40N||7||2||1740	Бо яким судом судите, вас судити муть; і якою мірою міряєте, вам одміряєть ся.
40N||7||3||1750	Чого ж дивиш ся на порошину в оцї брата твого, у своєму ж оцї полїна не чуєш?
40N||7||4||1760	Або, як скажеш ти братові твоєму: Дай я вийму порошину тобі з ока, а он у тебе самого полїно в оцї?
40N||7||5||1770	Лицеміре, перш вийми в себе самого з ока ломаку; тодї добре бачити меш, як вийняти братові твоєму з ока порошину.
40N||7||6||1780	Не давайте сьвятого собакам, і не кидайте ваших перед свинями, щоб не потоптали їх ногами своїми й, обернувшись, не порвали вас.
40N||7||7||1790	Просїть, то й дасть ся вам; шукайте, то й знайдете; стукайте, то й відчинить ся вам:
40N||7||8||1800	кожен бо, хто просить, одержує і хто шукає, знаходить; і хто стукає, тому відчиняють.
40N||7||9||1810	Або, чи в між вами така людина, що в неї син попросить хлїба, а вона подала б йому каменя?
40N||7||10||1820	або коли попросить риби, а вона подала б йому гадюку?
40N||7||11||1830	Коли ж ви, бувши лихими, умієте давати добрі дари дїтям вашим, то чи не більше ж давати ме все добре Отець ваш, що на небі, тим, хто просить у Него?
40N||7||12||1840	Оце ж, усе, що бажаєте, щоб робили вам люде, так і ви робить їм; се бо єсть закон і пророки.
40N||7||13||1850	Увіходьте вузкими дверима, бо широкі ті двері й розлога та дорога, що веде до погибелі, й багацько таких, що ними входять:
40N||7||14||1860	вузкі бо ті двері, й тїсна та дорога, що веде до життя, і мало таких, що їх знаходять.
40N||7||15||1870	Остерегайтесь лжепророків, що приходять до вас ув одежі овечій, а в серединї вони вовки хижі.
40N||7||16||1880	Познаєте їх по овощам їх. Чи збирають виноград із тернини, або фиґи з бодяків?
40N||7||17||1890	Так усяке добре дерево родить овощ добрий, а пусте дерево родить овощ лихий.
40N||7||18||1900	Не може добре дерево родити лихого овощу, анї пусте дерево родити овощу доброго.
40N||7||19||1910	Усяке дерево, що не родить доброго овощу, рубають і кидають ув огонь.
40N||7||20||1920	Оце ж по овощам їх познаете їх.
40N||7||21||1930	Не кожен, хто говорить до мене: Господи, Господи! увійде в царство небесне, а той, хто чинить волю Отця мого, що на небі.
40N||7||22||1940	Многі казати муть до мене того дня: Господи, Господи, чи не в твоє ас імя ми пророкували? й не твоїм імям біси виганяли? й не твоїм імям великі чудеса робили?
40N||7||23||1950	І промовлю тодї до них: Нїколи я вас не знав; ійдїть од мене, ви, що чините беззаконнє.
40N||7||24||1960	Оттим же, всякий, хто слухав сї слова мої й чинить їх, того уподоблю я чоловікові мудрому, що вбудував свій будинок на камені;
40N||7||25||1970	і полили дощі, й надійшла повідь і забуяли вітри, й наперли на той будинок; та й не впав він; бо основано його на каменї.
40N||7||26||1980	А всякий, хто слухав сї слова мої, та й не чинить їх, уподобить ся чоловікові необачному, що вбудував свій будинок на піску;
40N||7||27||1990	і полили дощі, й надійшла повідь, і забуяли вітри, й наперли на той будинок; і впав він, і велика була руїна його.
40N||7||28||2000	І сталось, як скінчив Ісус оцї слова, дивувавсь народ наукою Його:
40N||7||29||2010	бо Він їх навчав, яко маючий власть, а не як письменники.
40N||8||1||2020	Як же зійшов з гори, багато народу йшло слїдом за Ним.
40N||8||2||2030	Коли се приступив прокажений і вклонивсь Йому, кажучи: Господи, коли хочеш, то зможеш очистити мене,
40N||8||3||2040	І простяг Ісус руку, й приторкнувсь до него, й рече: Хочу, очистись. І зараз очистилась проказа його.
40N||8||4||2050	І рече до него Ісус: Гледи ж, не кажи нїкому, а йди та покажись священикові, й принеси дар, який повелїв Мойсей на сьвідкуваннє їм.
40N||8||5||2060	А як увійшов Іеус у Капернаум, приступив до Него сотник, благаючи Його,
40N||8||6||2070	й говорячи: Господи, слуга мій лежить дома розслаблений, і тяжко мучить ся.
40N||8||7||2080	І рече до него Ісус: Я пійду та сцїлю його.
40N||8||8||2090	Озвав же ся сотник і сказав: Господи, не заслужив я того, щоб Ти ввійшов під мою стелю; а промов одно слово, то й одужає слуга мій.
40N||8||9||2100	Бо сам я чоловік під властю, і маю воїни під собою; і скажу сьому: Йди, то й іде; а другому: Прийди, то й прийде, а слузї моєму: Роби те, то й робить.
40N||8||10||2110	Почувши се Ісус, дивував ся, і рече до тих, що йшли слїдом за Ним: Істино кажу вам: Навіть в Ізраїлї не знайшов я такої віри.
40N||8||11||2120	І кажу вам: Що многі прийдуть од сходу й заходу, та й сядуть з Авраамом, з Ісааком і з Яковом у царстві небесному,
40N||8||12||2130	а сини царства будуть повикидані у темряву надвірню: там буде плач і скриготаннє зубів.
40N||8||13||2140	І рече Ісус до сотника: Йди, і, як вірував єси, станеть ся тобі. І одужав слуга його тієї самої години.
40N||8||14||2150	І прийшов Ісус до Петрової господи, та й побачив, що теща його лежить у пропасниці.
40N||8||15||2160	І приторкнувсь до руки її, й покинула пропасниця її, й вставши вона, послуговала їм.
40N||8||16||2170	Як же настав вечір, приведено до Него багато біснуватих; і повиганяв Він біси словом, і сцїлив усїх недужих ;
40N||8||17||2180	щоб справдилось, що сказав Ісаїя пророк, глаголючи: Узяв Він на себе недуги наші, й понїс болещі наші.
40N||8||18||2190	Як же побачив Ісус великий натовп кругом себе, то звелїв плисти на той бік.
40N||8||19||2200	І приступивши один письменник, каже до Него: Учителю, пійду слідом за Тобою, куди б Ти нї пійшов.
40N||8||20||2210	Ісус же рече до него: Лисицї мають нори, й птаство небесне гнізда; Синові ж чоловічому нїде й голови прихилити.
40N||8||21||2220	Другий же ученик Його каже до Него: Господи, дозволь менї перш пійти поховати батька мого.
40N||8||22||2230	Ісус ж рече до него: Йди слїдом за мною; нехай мертві ховають мерці свої.
40N||8||23||2240	І, як увійшов у човен, поввіходили слїдом за Ним ученики Його.
40N||8||24||2250	Аж ось схопилась велика хуртовина на морі, така що филя заливала човна; Він же спав.
40N||8||25||2260	І, приступивши ученики Його, розбудили Його, кажучи: Господи, спаси нас: погибаємо.
40N||8||26||2270	І рече до них: Чого ви злякались, маловірні? Тодї встав, і погрозив вітрам та морю; і настала велика тиша.
40N||8||27||2280	Люде ж дивувались, говорячи: Хто се такий, що й вітри й море слухають Його!
40N||8||28||2290	І як переплив на той бік у Гергесинську землю, зустріло Його два біснуватих, що вийшли з гробів, вельми злющі, так що ніхто не важив ся ходити дорогою тією.
40N||8||29||2300	І ось, закричали, говорячи: Що нам і Тобі, Ісусе, Сину Божий? чи на те прийшов єси сюди, щоб нас заздалегідь мучити?
40N||8||30||2310	Оддалеки ж од них пас ся великий гурт свиней.
40N||8||31||2320	А біси благали Його, кажучи: Коли нас виженеш, то дозволь нам увійти в гурт свинячий.
40N||8||32||2330	І рече до них: Ійдїть. І, вийшовши вони, увійшли в стадо свиняче - коли се увесь гурт свинячий кинувсь із кручі в море, та й потонув у водї
40N||8||33||2340	А пастухи повтікали й, прибігши в город, росказали про все й про біснуватих.
40N||8||34||2350	І ось увесь город вийшов назустріч Ісусові, а, побачивши Його благали, щоб вийшов геть із гряниць їх.
40N||9||1||2360	І ввійшов Він у човен, та й переплив, і прийшов у свій город
40N||9||2||2370	Коли се принесено до Него розслабленого, лежачого на постелі; і бачивши Ісус віру їх, рече розслабленому: Бодрись, сину; одпускають ся тобі гріхи твої.
40N||9||3||2380	Аж тут деякі письменники кажуть собі: Сей хулить.
