40N||1||1||10	LIBRO de la generacion de Jesu-Cristo, hijo de David, hijo de Abraham.
40N||3||13||610	Entónces Jesus vino de Galiléa á Juan al Jordan, para ser bautizado de él. 
40N||3||14||620	Mas Juan lo resistia mucho, diciendo: Yo he menester ser bautizado de tí, ¿y tu vienes á mí? 
40N||3||15||630	Empero respondiendo Jesus le dijo: Deja ahora: porque así nos conviene cumplir toda justicia. Entónces le dejó. 
40N||3||16||640	Y Jesus despues que fué bautizado, subió luego del agua: y hé aquí los cielos le fueron abiertos, y vió al Espíritu de Dios que descendia, como paloma, y venia sobre el, 
40N||3||17||650	Y hé aquí una voz de los cielos que decia: Este es mi Hijo amado, en el cual tengo contentamiento.
40N||4||1||660	Entónces Jesus fué llevado del Espíritu al desierto, para ser tentado del diablo.
40N||4||2||670	Y habiendo ayunado cuarenta dias y cuarenta noches, despues tuvo hambre.
40N||4||3||680	Y llegándose á él el tentador, dijo: Si eres Hijo de Dios, dí que estas piedras se hagan pan.
40N||4||4||690	Mas él respondiendo, dijo: Escrito está: No con solo el pan vivirá el hombre; mas con toda palabra que sale de la boca de Dios.
40N||4||5||700	Entónces el diablo le pasa á la santa ciudad, y le pone sobre las almenas del templo;
40N||4||6||710	Y le dice: Si eres Hijo de Dios échate abajo; que escrito está: A sus ángeles mandará por tí, y te alzarán en las manos, para que nunca tropieces con tu pié en piedra.
40N||4||7||720	Jesus le dijo: Escrito está además: No tentarás al Señor tu Dios.
40N||4||8||730	Otra vez le pasa el diablo á un monte muy alto, y le muestra todos los reinos del mundo, y su gloria,
40N||4||9||740	Y dícele: Todo esto te daré, si postrado me adorares. 
40N||4||10||750	Entónces Jesus le dice: Vete, Satanás; que escrito esta: Al Señor tu Dios adorarás, y á él solo servirás. 
40N||4||11||760	El diablo entónces le dejó: y hé aquí los ángeles llegaron, y le servian. 
40N||4||12||770	Mas oyendo Jesus que Juan era preso, se volvió á Galiléa; 
40N||4||13||780	Y dejando á Nazaret, vino, y habitó en Capernaum, [ciudad] marítima, en los confines de Zabulon y de Nephtalim: 
40N||4||14||790	Para que se cumpliese lo que fué dicho por el profeta Isaías, que dijo: 
40N||4||15||800	La tierra de Zabulon, y la tierra de Nephtalim, camino de la mar, de la otra parte del Jordan, Galiléa de los Gentiles; 
40N||4||16||810	El pueblo asentado en tinieblas, vió gran luz: y á los sentados en region y sombra de muerte, luz les esclareció. 
40N||4||17||820	Desde entónces comenzó Jesus á predicar, y á decir: Arrepentíos, que el reino de los cielos se ha acercado. 
40N||4||18||830	Y andando Jesus junto á la mar de Galiléa, vió á dos hermanos, Simon, que es llamado Pedro, y Andrés su hermano, que echaban la red en la mar; porque eran pescadores: 
40N||4||19||840	Y díceles: Venid en pos de mí, y os haré pescadores de hombres. 
40N||4||20||850	Ellos entónces, dejando luego las redes, le siguieron. 
40N||4||21||860	Y pasando de allí, vió otros dos hermanos, Jacobo, hijo de Zebedéo, y Juan su hermano, en el barco con Zebedéo, su padre, que remendaban sus redes, y los llama. 
40N||4||22||870	Y ellos dejando luego el barco, y á su padre, le siguieron. 
40N||4||23||880	Y rodeó Jesus á toda Galiléa enseñando en las sinagogas de ellos, y predicando el Evangelio del reino, y sanando toda enfermedad y toda dolencia en el pueblo. 
40N||4||24||890	Y corria su fama por toda la Siria: y le trajeron todos los que tenian mal, los tomados de diversas enfermedades y tormentos, y los endemoniados, y lunáticos, y paralíticos; y los sanó. 
40N||4||25||900	Y le siguieron muchas gentes de Galiléa, y de Decápolis, y de Jerusalem, y de Judéa, y de la otra parte del Jordan.
40N||5||1||910	Y VIENDO las gentes, subió al monte; y sentándose, se llegaron á él sus discípulos.
40N||5||2||920	Y abriendo su boca, les enseñaba, diciendo:
40N||5||3||930	Bienaventurados los pobres en espíritu: porque de ellos es el reino de los cielos.
40N||5||4||940	Bienaventurados los que lloran: porque ellos recibirán consolacion.
40N||5||5||950	Bienaventurados los mansos: porque ellos recibirán la tierra por heredad.
40N||5||6||960	Bienaventurados los que tienen hambre y sed de justicia: porque ellos serán hartos.
40N||5||7||970	Bienaventurados los misericordiosos: porque ellos alcanzarán misericordia.
40N||5||8||980	Bienaventurados los de limpio corazon: porque ellos verán á Dios.
40N||5||9||990	Bienaventurados los pacificadores: porque ellos serán llamados hijos de Dios, 
40N||5||10||1000	Bienaventurados los que padecen persecucion por causa de la justicia: porque de ellos es el reino de los cielos. 
40N||5||11||1010	Bienaventurados sois, cuando os vituperaren, y [os] persiguieren, y dijeren de vosotros todo mal por mi causa, mintiendo. 
40N||5||12||1020	Gozáos y alegráos; porque vuestra merced [es] grande en los cielos: que así persiguieron á los profetas que [fueron] ántes de vosotros. 
40N||5||13||1030	Vosotros sois la sal de la tierra: y si la sal se desvaneciere, ¿con qué será salada? no vale mas para nada, sino que sea echada fuera y hollada de los hombres. 
40N||5||14||1040	Vosotros sois la luz del mundo: una ciudad asentada sobre un monte no se puede esconder. 
40N||5||15||1050	Ni se enciende una lámpara, y se pone debajo de un almud, mas sobre el candelero; y alumbra á todos los que [están] en casa. 
40N||5||16||1060	Así alumbre vuestra luz delante de los hombres; para que vean vuestras obras buenas, y glorifiquen á vuestro Padre que [está] en los cielos. 
40N||5||17||1070	No penseis que he venido para abrogar la ley, ó los profetas: no he venido para abrogar, sino á cumplir. 
40N||5||18||1080	Porque de cierto os digo, [que] hasta que perezca el cielo y la tierra, ni una jota, ni un tilde perecerá de la ley, hasta que todas las cosas sean hechas. 
40N||5||19||1090	De manera que cualquiera que infringiere uno de estos mandamientos muy pequeños, y así enseñare á los hombres, muy pequeño será llamado en el reino de los cielos: mas cualquiera que hiciere, y enseñare, este será llamado grande en el reino de los cielos. 
40N||5||20||1100	Porque os digo, que si vuestra justicia no fuere mayor que [la] de los escribas y de los Fariséos, no entraréis en el reino de los cielos. 
40N||5||21||1110	Oisteis que fué dicho á los antiguos: No matarás; mas cualquiera que matare, será culpado del juicio. 
40N||5||22||1120	Mas yo os digo, que cualquiera que se enojare locamente con su hermano, sera culpado del juicio: y cualquiera que dijere á su hermano: Raca, será culpado del concejo: y cualquiera que dijere: Fátuo, sera culpado del infierno del fuego. 
40N||5||23||1130	Por tanto, si trajeres tu Presente al altar, y allí te acordares que tu hermano tiene algo contra tí, 
40N||5||24||1140	Deja allí tu Presente delante del altar, y véte; vuelve primero en amistad con tu hermano, y entónces vén, y ofrece tu Presente. 
40N||5||25||1150	Concíliate con tu adversario presto, entretanto que estás con él en el camino; porque no acontezca que el adversario te entregue al juez, y el juez te entregue al alguacil, y seas echado en prision. 
40N||5||26||1160	De cierto te digo, que no saldrás de allí, hasta que pagues el último cuadrante. 
40N||5||27||1170	Oísteis que fué dicho: No adulterarás: 
40N||5||28||1180	Mas yo os digo, que cualquiera que mira la mujer para codiciarla, ya adulteró con ella en su corazon. 
40N||5||29||1190	Por tanto si tu ojo derecho te fuere ocasion de caer, sácalo, y échalo de tí: que mejor te es, que se pierda uno de tus miembros, que no que todo tu cuerpo sea echado al infierno. 
40N||5||30||1200	Y si tu mano derecha te fuere ocasion de caer, córtala, y échala de tí: que mejor te es que se pierda uno de tus miembros, que no que todo tu cuerpo sea echado al infierno. 
40N||5||31||1210	Tambien fué dicho: Cualquiera que repudiare á su mujer, dele carta de divorcio: 
40N||5||32||1220	Mas yo os digo, que el que repudiare á su mujer, fuera de causa de fornicacion, hace que ella adultere: y él que se casare con la repudiada, comete adulterio. 
40N||5||33||1230	Además habeis oido que fué dicho á los antiguos: No te perjurarás; mas pagarás al Señor tus juramentos: 
40N||5||34||1240	Mas yo os digo: No jureis en ninguna manera; ni por el cielo, porque es el trono de Dios: 
40N||5||35||1250	Ni por la tierra, porque es el estrado de sus piés; ni por Jerusalem, porque es la ciudad del gran Rey. 
40N||5||36||1260	Ni por tu cabeza jurarás; porque no puedes hacer un cabello blanco ó negro. 
40N||5||37||1270	Mas sea vuestro hablar, Sí, sí: No, no: Porque lo [que es] mas de esto, de mal procede. 
40N||5||38||1280	Oisteis que fué dicho á los antiguos: Ojo por ojo, y diente por diente: 
40N||5||39||1290	Mas yo os digo: No resistais al mal: ántes á cualquiera que te hiriere en tu mejilla diestra, vuélvele tambien la otra. 
40N||5||40||1300	Y al que quisiere ponerte á pleito, y tomarte tu ropa, déjale tambien la capa. 
40N||5||41||1310	Y á cualquiera que te cargare por una milla, ve con el dos. 
40N||5||42||1320	Al que te pidiere, dále: y al que quisiere tomar de tí emprestado, no se lo rehuses. 
40N||5||43||1330	Oisteis que fué dicho: Amarás a tu prójimo, y aborrecerás á tu enemigo: 
40N||5||44||1340	Mas yo os digo: Amad á vuestros enemigos, bendecid á los que os maldicen, haced bien á los que os aborrecen, y orad por los que os ultrajan y os persiguen; 
40N||5||45||1350	Para que seais hijos de vuestro Padre que [está] en los cielos; que hace que su sol salga sobre malos y buenos, y llueve sobre justos é injustos. 
40N||5||46||1360	Porque si amareis á los que os amen, ¿qué recompensa tendréis? ¿no hacen tambien lo mismo los publicanos? 
40N||5||47||1370	Y si abrazareis á vuestros hermanos solamente, ¿qué haceis demás? ¿no hacen tambien así los Gentiles? 
40N||5||48||1380	Sed pues vosotros perfectos, como vuestro Padre que [está] en los cielos es perfecto.
40N||6||1||1390	MIRAD que no hagais vuestra justicia delante de los hombres, para ser vistos de ellos: de otra manera no tendreis merced de vuestro Padre que [está] en los cielos.
40N||6||2||1400	Cuando pues haces limosna, no hagas tocar trompeta delante de tí, como hacen los hipócritas en las sinagogas y en las plazas, para ser estimados de los hombres: de cierto os digo, [que ya] tienen su recompensa.
40N||6||3||1410	Mas cuando tú haces limosna, no sepa tu izquierda lo que hace tu derecha:
40N||6||4||1420	Para que sea tu limosna en secreto y tu Padre que ve en secreto, él te recompensará en público.
40N||6||5||1430	Y cuando oras, no seas como los hipócritas: porque ellos aman el orar en las sinagogas, y en los cantones de las calles en pié, para que sean vistos de los hombres: de cierto os digo, [que ya] tienen su pago.
40N||6||6||1440	Mas tú, cuando oras, éntrate en tu cámara, y cerrada tu puerta, ora á tu Padre que [está] en secreto: y tu Padre que ve en secreto, te recompensará en público.
40N||6||7||1450	Y orando, no seais prolijos, como los Gentiles; que piensan que por su parlería serán oidos.
40N||6||8||1460	No os hagais pues semejantes á ellos: porque vuestro Padre sabe de que cosas teneis necesidad, ántes que vosotros le pidais.
40N||6||9||1470	Vosotros, pues, oraréis así: Padre nuestro, que [estás] en los cielos, santificado sea tu nombre: 
40N||6||10||1480	Venga tu reino: sea hecha tu voluntad, como en el cielo, [así] tambien en la tierra. 
40N||6||11||1490	Dános hay nuestro pan cotidiano. 
40N||6||12||1500	Y perdónanos nuestras deudas, como tambien nosotros perdonamos á nuestros deudores. 
40N||6||13||1510	Y no nos metas en tentacion, mas líbranos del mal: porque tuyo es el reino, y la potencia, y la gloria, por todos los siglos. Amen. 
40N||6||14||1520	Porque si perdonareis á los hombres sus ofensas, os perdonará tambien á vosotros vuestro Padre celestial. 
40N||6||15||1530	Mas si no perdonareis á los hombres sus ofensas, tampoco vuestro Padre os perdonará vuestras ofensas. 
40N||6||16||1540	Y cuando ayunais, no seais como los hipócritas, austeros: porque ellos demudan sus rostros para parecer á los hombres que ayunan: de cierto os digo, que [ya] tienen su pago. 
40N||6||17||1550	Mas tú, cuando ayunas, unge tu cabeza, y lava tu rostro; 
40N||6||18||1560	Para no parecer á los hombres que ayunas, sino á tu Padre que [está] en secreto: y tu Padre, que ve en secreto, te recompensará en público. 
40N||6||19||1570	No os hagais tesoros en la tierra donde la polilla y el orin corrompe, y donde ladrones minan y hurtan. 
40N||6||20||1580	Mas hacéos tesoros en el cielo, donde ni polilla ni orin corrompe, y donde ladrones no minan ni hurtan. 
40N||6||21||1590	Porque donde estuviere vuestro tesoro, allí estará vuestro corazon. 
40N||6||22||1600	La lámpara del cuerpo es el ojo: así que si tu ojo fuere sincero, todo tu cuerpo será luminoso. 
40N||6||23||1610	Mas si tu ojo fuere malo, todo tu cuerpo será tenebroso: así que si la lumbre que en tí hay son tinieblas, ¿cuántas [serán] las mismas tinieblas? 
40N||6||24||1620	Ninguno puede servir á dos señores; porque ó aborrecerá al uno, y amará al otro; ó se llegará al uno, y menospreciará al otro: no podeis servir á Dios y á Mammon. 
40N||6||25||1630	Por tanto os digo: No os congojeis por vuestra vida, qué habeis de comer, ó qué habeis de beber; ni por vuestro cuerpo, qué habeis de vestir: ¿no es la vida más que el alimento, y el cuerpo que el vestido? 
40N||6||26||1640	Mirad las aves del cielo, que no siembran, ni siegan, ni allegan en alfolíes; y vuestro Padre celestial las alimenta: ¿no sois vosotros mucho mejores que ellas? 
40N||6||27||1650	¿Mas quién de vosotros podrá congojándose añadir á su estatura un codo? 
40N||6||28||1660	Y por el vestido, ¿por qué os congojais? Reparad los lirios del campo, cómo crecen: no trabajan, ni hilan: 
40N||6||29||1670	Mas os digo, que ni aun Salomon con toda su gloria fué vestido así como uno de ellos. 
40N||6||30||1680	Y si la yerba del campo que hoy es, y mañana es echada en el horno, Dios [la] viste así, ¿no [hará] mucho más á vosotros, [hombres] de poca fé? 
40N||6||31||1690	No os congojeis, pues, diciendo: ¿Qué comerémos, ó qué beberémos, ó con qué nos cubriremos? 
40N||6||32||1700	Porque los Gentiles buscan todas estas cosas: que vuestro Padre celestial sabe que de todas estas cosas habeis menester. 
40N||6||33||1710	Mas buscad primeramente el reino de Dios, y su justicia: y todas estas cosas os serán añadidas. 
40N||6||34||1720	Así que, no os congojeis por el dia de mañana; que el dia de mañana traerá su fatiga: basta al dia su afan.
40N||7||1||1730	NO juzgueis, para que no seais juzgados.
40N||7||2||1740	Porque con el juicio con que juzgais seréis juzgados; y con la medida con que medís, os volverán á medir.
40N||7||3||1750	Y ¿por qué miras la mota que [está] n el ojo de tu hermano, y no echas de ver la viga que [está] en tu ojo?
40N||7||4||1760	O ¿cómo dirás á tu hermano: Espera, echaré de tu ojo la mota; y hé aquí la viga en tu ojo?
40N||7||5||1770	¡Hipócrita! echa primero la viga de tu ojo: y entónces mirarás en echar la mota del ojo de tu hermano.
40N||7||6||1780	No deis lo santo á los perros; ni echeis vuestras perlas delante de los puercos: porque no las rehuellen con sus piés, y vuelvan y os despedacen.
40N||7||7||1790	Pedid, y se os dará; buscad, y hallarás; llamad, y se os abrirá.
40N||7||8||1800	Porque cualquiera que pide, recibe; y el que busca, halla; y al que llama se abrirá.
40N||7||9||1810	¿Qué hombre hay de vosotros, á quien si su hijo pidiere pan, le dará una piedra? 
40N||7||10||1820	¿Y, si [le] pidiere un pez, le dará una serpiente? 
40N||7||11||1830	Pues si vosotros, siendo malos, sabeis dar buenas dádivas á vuestros hijos, ¿cuánto más vuestro Padre, que [está] en los cielos, dará buenas cosas á los que le piden? 
40N||7||12||1840	Así que, todas las cosas que quisierais que los hombres hiciesen con vosotros, así tambien haced vosotros con ellos: porque esta es la ley, y los profetas. 
40N||7||13||1850	Entrad por la puerta estrecha: porque ancha [es] la puerta, y espacioso el camino;^ que lleva á perdicion; y muchos son los que entran por ella. 
40N||7||14||1860	Porque estrecha [es] la puerta, y angosto el camino, que lleva á la vida; y pocos son los que la hallan. 
40N||7||15||1870	Y guardáos de los falsos profetas que vienen á vosotros con vestidos de ovejas, mas de dentro son lobos rapaces. 
40N||7||16||1880	Por sus frutos los conocereis. ¿Cógense uvas de los espinos, ó higos de los abrojos? 
40N||7||17||1890	Así todo buen árbol lleva buenos frutos; mas el árbol maleado lleva malos frutos. 
40N||7||18||1900	No puede el buen árbol llevar malos frutos; ni el árbol maleado llevar frutos buenos. 
40N||7||19||1910	Todo árbol que no lleva buen fruto, córtase y échase en el fuego. 
40N||7||20||1920	Así que por sus frutos los conocereis. 
40N||7||21||1930	No todo el que me dice: Señor, Señor, entrará en el reino de los cielos; mas el que hiciere la voluntad de mi Padre que [está] en los cielos. 
40N||7||22||1940	Muchos me dirán en aquel dia: Señor, Señor, ¿no profetizamos en tu nombre, y en tu nombre lanzamos demonios, y en tu nombre hicimos muchos milagros? 
40N||7||23||1950	Y entónces les protestaré: Nunca os conocí; apartáos de mí, obradores de maldad. 
40N||7||24||1960	Cualquiera pues que me oye estas palabras, y las hace, le compararé á un hombre prudente, que edificó su casa sobre la peña: 
40N||7||25||1970	Y descendió lluvia, y vinieron rios, y soplaron vientos, y combatieron aquella casa: y no cayó; porque estaba fundada sobre la peña. 
40N||7||26||1980	Y cualquiera que me oye estas palabras, y no las hace, le compararé á un hombre insensato, que edificó su casa sobre la arena; 
40N||7||27||1990	Y descendió lluvia, y vinieron rios, y soplaron vientos, é hicieron ímpetu en aquella casa; y cayó, y fué grande su ruina. 
40N||7||28||2000	Y fué [que] como Jesus acabó estas palabras, las gentes se admiraban de su doctrina: 
40N||7||29||2010	Porque les enseñaba como quien tiene autoridad, y no como los escribas.
40N||8||1||2020	Y COMO descendió del monte, le seguian muchas gentes.
40N||8||2||2030	Y hé aquí un leproso vino, y le adoraba, diciendo: Señor, si quisieres, puedes limpiarme.
40N||8||3||2040	Y extendiendo Jesus su mano, le tocó, diciendo: Quiero; sé limpio. Y luego su lepra fué limpiada.
40N||8||4||2050	Entónces Jesus le dijo: Mira no [lo] digas á nadie; mas vé, muéstrate al sacerdote, y ofrece el Presente que mandó Moisés, para testimonio á ellos.
40N||8||5||2060	Y entrando Jesus en Capernaum vino á él un centurion, rogándole,
40N||8||6||2070	Y diciendo: Señor, mi mozo yace en casa paralítico, gravemente atormentado.
40N||8||7||2080	Y Jesus le dijo: Yo iré, y le sanaré.
40N||8||8||2090	Y respondió el centurion, y dijo: Señor, no soy digno que entres debajo de mi techado: mas solamente dí la palabra, y mi mozo sanará.
40N||8||9||2100	Porque tambien yo soy hombre bajo de potestad, y tengo bajo de mí soldados: y digo á éste: Vé; y va; y al otro: Ven; y viene; y á mi siervo: Haz esto; y [lo] hace. 
40N||8||10||2110	Y oyendo Jesus, se maravilló, y dijo á los que [le] seguian: De cierto os digo, que ni aun en Israel he hallado fé tanta. 
40N||8||11||2120	Y os digo que vendrán muchos del Oriente, y del Occidente, y se asentarán con Abraham, é Isaac, y Jacob, en el reino de los cielos. 
40N||8||12||2130	Mas los hijos del reino serán echados á las tinieblas de afuera: allí será el lloro y el crujir de dientes. 
40N||8||13||2140	Entónces Jesus dijo al centurion: Vé, y como creiste, te sea hecho. Y su mozo fué sano en el mismo momento. 
40N||8||14||2150	Y vino Jesus á casa de Pedro, y vió á su suegra echada en cama, y con fiebre. 
40N||8||15||2160	Y tocó su mano, y la fiebre la dejó: y ella se levantó, y les servia. 
40N||8||16||2170	Y como fué ya tarde, trajeron á él muchos endemoniados; y echó [de ellos] los demonios con la palabra, y sanó todos los enfermos: 
40N||8||17||2180	Para que se cumpliese lo que fué dicho por el profeta Isaías, que dijo: El mismo tomó nuestras enfermedades, y llevó [nuestras] dolencias. 
40N||8||18||2190	Y viendo Jesus muchas gentes alrededor de sí, mandó pasar á la otra parte [del lago.] 
40N||8||19||2200	Y llegándose un escriba, le dijo: Maestro, te seguiré donde quiera que fueres. 
40N||8||20||2210	Y Jesus le dijo: las zorras tienen cavernas, y las aves del cielo nidos; mas el Hijo del hombre no tiene donde recueste [su] cabeza. 
40N||8||21||2220	Y otro de sus discípulos le dijo: Señor, dáme licencia que vaya primero, y entierre á mi padre. 
40N||8||22||2230	Y Jesus le dijo: Sígueme; deja que los muertos entierren á sus muertos. 
40N||8||23||2240	Y entrando él en el barco, sus discípulos le siguieron. 
40N||8||24||2250	Y hé aquí fué hecho en la mar un gran movimiento, que el barco se cubria de las ondas: mas él dormia. 
40N||8||25||2260	Y llegándose sus discípulos le despertaron, diciendo: Señor, sálvanos, [que] perecemos. 
40N||8||26||2270	Y él les dice: ¿Por qué temeis, [hombres] de poca fé? Entónces, levantándose, reprendió á los vientos y á la mar, y fué grande bonanza. 
40N||8||27||2280	Y los hombres se maravillaron, diciendo: ¿Qué [hombre] es este, que aun los vientos y la mar le obedecen? 
40N||8||28||2290	Y como él hubo llegado en la otra ribera al país de los Guerguesenos, le vinieron al encuentro dos endemoniados que salian de los sepulcros, fieros en gran manera, que nadie podia pasar por aquel camino. 
40N||8||29||2300	Y hé aquí clamaron, diciendo: ¿Qué tenemos contigo, Jesus Hijo de Dios? ¿has venido acá á molestarnos ántes de tiempo? 
